"sampid","hid","isolate","datecollected"
"dzd-986","4789372258872650000","2.0","10/7/2018"
"dzd-987","3789387258990650000","2.0","10/7/2018"
"dzd-988","8677105092271300000","3.0","10/7/2018"
"dzd-989","6232308127404300000","1","10/7/2018"
"dzd-99","7780201324047730000","2.0","8/11/2018"
"dzd-990","6214421946373240000","1","10/7/2018"
"dzd-991","7214404946255240000","1","10/7/2018"
"dzd-992","7677100092260300000","1","10/7/2018"
"dzd-993","3096505478136650000","2.0","10/7/2018"
"dzd-994","653558609455004000","1","10/7/2018"
"dzd-995","5096520478174650000","1","10/7/2018"
"dzd-996","4657324814770900000","1","10/7/2018"
"dzd-997","2096491478013650000","2.0","10/7/2018"
"dzd-998","6350222595729890000","1","10/7/2018"
"dzd-999","5096514478036650000","1","10/7/2018"
